userID,course,module,quiz,topics-tested,grade,qn-answered-correct,qn-answered-wrong,total-marks,total-possible-marks,date-of-attempt,question-1,correct-answer-1,user-answer-1,question-2,correct-answer-2,user-answer-2,question-3,correct-answer-3,user-answer-3,question-4,correct-answer-4,user-answer-4,question-5,correct-answer-5,user-answer-5,question-6,correct-answer-6,user-answer-6
testuser,DISM,PSEC,Quiz-1,"string,list",46.15,2,3,6,13,Sun Jan 30 00:50:01 2022,list-question-4,list-question-4-ans-d,list-question-4-ans-b,list-question-2,list-question-2-ans-b,list-question-2-ans-a,string-question-2,string-question-2-ans-b,string-question-2-ans-d,string-question-1,string-question-1-ans-a,string-question-1-ans-a,string-question-3,string-question-3-ans-c,string-question-3-ans-c,NA,NA,NA
testuser,DISM,ISEC,Quiz-1,"malware,sys-security",0.0,0,5,0,10,Sun Jan 30 15:36:12 2022,sys-security-question-1,sys-security-question-1-ans-a,sys-security-question-1-ans-c,malware-question-2,malware-question-2-ans-b,malware-question-2-ans-c,malware-question-3,malware-question-3-ans-c,malware-question-3-ans-a,sys-security-question-2,sys-security-question-2-ans-b,sys-security-question-2-ans-d,malware-question-1,malware-question-1-ans-a,malware-question-1-ans-b,NA,NA,NA
testuser,DISM,PSEC,Quiz-1,"string,list",61.54,3,2,8,13,Sun Jan 30 17:45:56 2022,string-question-5,string-question-5-ans-a,string-question-5-ans-d,list-question-2,list-question-2-ans-b,list-question-2-ans-a,string-question-4,string-question-4-ans-d,string-question-4-ans-d,list-question-3,list-question-3-ans-c,list-question-3-ans-c,string-question-1,string-question-1-ans-a,string-question-1-ans-a,NA,NA,NA
testuser,DISM,PSEC,Quiz-1,"string,list",15.38,1,4,2,13,Sun Jan 30 17:48:22 2022,string-question-5,string-question-5-ans-a,string-question-5-ans-d,string-question-1,string-question-1-ans-a,string-question-1-ans-b,string-question-3,string-question-3-ans-c,string-question-3-ans-a,list-question-5,list-question-5-ans-a,list-question-5-ans-c,list-question-4,list-question-4-ans-d,list-question-4-ans-d,NA,NA,NA
p12345678,DIT,FED,Quiz-1,"html5-css3,javascript",20.0,1,4,2,10,Sun Jan 30 18:03:41 2022,javascript-question-1,javascript-question-1-ans-a,javascript-question-1-ans-b,html5-css3-question-3,html5-css3-question-3-ans-c,html5-css3-question-3-ans-d,html5-css3-question-1,html5-css3-question-1-ans-a,html5-css3-question-1-ans-a,javascript-question-3,javascript-question-3-ans-c,javascript-question-3-ans-a,html5-css3-question-5,html5-css3-question-5-ans-a,html5-css3-question-5-ans-b,NA,NA,NA
p12345678,DIT,FED,Quiz-1,"html5-css3,javascript",60.0,3,2,6,10,Sun Jan 30 18:03:55 2022,html5-css3-question-1,html5-css3-question-1-ans-a,html5-css3-question-1-ans-a,javascript-question-2,javascript-question-2-ans-b,javascript-question-2-ans-c,javascript-question-5,javascript-question-5-ans-a,javascript-question-5-ans-c,html5-css3-question-2,html5-css3-question-2-ans-b,html5-css3-question-2-ans-b,html5-css3-question-5,html5-css3-question-5-ans-a,html5-css3-question-5-ans-a,NA,NA,NA
p12345678,DIT,FED,Quiz-1,"html5-css3,javascript",20.0,1,4,2,10,Sun Jan 30 18:04:05 2022,html5-css3-question-5,html5-css3-question-5-ans-a,html5-css3-question-5-ans-d,html5-css3-question-1,html5-css3-question-1-ans-a,html5-css3-question-1-ans-a,javascript-question-3,javascript-question-3-ans-c,javascript-question-3-ans-b,javascript-question-4,javascript-question-4-ans-d,javascript-question-4-ans-b,html5-css3-question-2,html5-css3-question-2-ans-b,html5-css3-question-2-ans-d,NA,NA,NA
testuser,DISM,PSEC,Quiz-1,"string,list",23.08,1,4,3,13,Thu Feb  3 16:05:41 2022,string-question-4,string-question-4-ans-d,string-question-4-ans-c,list-question-5,list-question-5-ans-a,list-question-5-ans-c,list-question-3,list-question-3-ans-c,list-question-3-ans-d,string-question-3,string-question-3-ans-c,string-question-3-ans-c,string-question-5,string-question-5-ans-a,string-question-5-ans-d,NA,NA,NA
testuser,DISM,PSEC,Quiz-2,"string,list,socket",18.18,1,4,2,11,Thu Feb  3 16:06:08 2022,string-question-4,string-question-4-ans-d,string-question-4-ans-b,list-question-4,list-question-4-ans-d,list-question-4-ans-a,socket-question-4,socket-question-4-ans-d,socket-question-4-ans-d,list-question-1,list-question-1-ans-a,list-question-1-ans-d,socket-question-3,socket-question-3-ans-c,socket-question-3-ans-d,NA,NA,NA
testuser,DISM,PSEC,Quiz-1,"string,list",0.0,0,5,0,13,Mon Feb  7 05:22:50 2022,string-question-2,string-question-2-ans-b,NA,list-question-3,list-question-3-ans-c,NA,list-question-5,list-question-5-ans-a,NA,string-question-5,string-question-5-ans-a,NA,string-question-3,string-question-3-ans-c,NA,NA,NA,NA
